country,fulltitle,country_OEL,continent,continent_OEL,Situational,panel#,runs,amount,length,averagelength,maxlength,proportion,Frequency,PanelProportion,averagelength%,maxlength%
Japan,Poison Berry in my Brain,Japan,Asia,Asia,Character,138,19,16,35,2.1875,3,25.36231884,0.115942029,0.253623188,0.015851449,0.02173913
Japan,Psyren,Japan,Asia,Asia,Character,200,21,20,41,2.05,3,20.5,0.1,0.205,0.01025,0.015
Japan,Regalo,Japan,Asia,Asia,Character,240,34,24,58,2.416666667,4,24.16666667,0.1,0.241666667,0.010069444,0.016666667
Japan,Rurouni Kenshin,Japan,Asia,Asia,Character,102,44,18,62,3.444444444,10,60.78431373,0.176470588,0.607843137,0.033769063,0.098039216
Japan,Saireen,Japan,Asia,Asia,Character,100,42,14,56,4,14,56,0.14,0.56,0.04,0.14
Japan,Saiyuki,Japan,Asia,Asia,Character,81,43,15,58,3.866666667,6,71.60493827,0.185185185,0.716049383,0.047736626,0.074074074
Japan,Shokugeki No Soma,Japan,Asia,Asia,Character,475,84,53,137,2.58490566,8,28.84210526,0.111578947,0.288421053,0.005441907,0.016842105
Japan,Slam Dunk,Japan,Asia,Asia,Character,86,22,15,37,2.466666667,3,43.02325581,0.174418605,0.430232558,0.028682171,0.034883721
Japan,The Prince of Tennis,Japan,Asia,Asia,Character,72,30,12,42,3.5,6,58.33333333,0.166666667,0.583333333,0.048611111,0.083333333
Japan,The World God Only Knows,Japan,Asia,Asia,Character,291,67,47,114,2.425531915,4,39.17525773,0.161512027,0.391752577,0.008335161,0.013745704
Japan,Touch,Japan,Asia,Asia,Character,110,52,19,71,3.736842105,11,64.54545455,0.172727273,0.645454545,0.033971292,0.1
Japan,Trinity Seven,Japan,Asia,Asia,Character,222,28,20,48,2.4,5,21.62162162,0.09009009,0.216216216,0.010810811,0.022522523
Japan,Vagabond,Japan,Asia,Asia,Character,190,32,24,59,2.36,4,31.05263158,0.126315789,0.310526316,0.012421053,0.021052632
Japan,Yu-Gi-Oh! 5D's,Japan,Asia,Asia,Character,208,47,30,74,2.551724138,8,35.57692308,0.144230769,0.355769231,0.012267905,0.038461538
